QueryAccVer,SeqName,Taxon,Levels,species,genus,family,order,class,phylum,kingdom,method,DB,threshold,Taxon.ori,Genus.ori,Family.ori,Order.ori,Class.ori,Phylum.ori
GBCI4815-14,GBCI4815-14 Root; Animalia; Cnidaria; Hydrozoa; Siphonophorae; Agalmatidae; Nanomia; Nanomia cara,Nanomia cara,species,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria,Metazoa,LCA,postONncbi_nt,95,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria
GBCI4816-14,GBCI4816-14 Root; Animalia; Cnidaria; Hydrozoa; Siphonophorae; Agalmatidae; Nanomia; Nanomia cara,Nanomia cara,species,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria,Metazoa,LCA,postONncbi_nt,95,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria
GBCI4817-14,GBCI4817-14 Root; Animalia; Cnidaria; Hydrozoa; Siphonophorae; Agalmatidae; Nanomia; Nanomia cara,Nanomia cara,species,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria,Metazoa,LCA,postONncbi_nt,95,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria
BBPS065-19,BBPS065-19 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Laonice; Laonice cirrata,Laonice cirrata,species,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida
BBPS1055-19,BBPS1055-19 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Laonice; Laonice cirrata,Laonice cirrata,species,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida
BBPS594-19,BBPS594-19 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Laonice; Laonice cirrata,Laonice cirrata,species,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida
BBPS066-19,BBPS066-19 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Laonice; Laonice cirrata,Laonice cirrata,species,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida
DISA938-19,DISA938-19 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Laonice; Laonice cirrata,Unassigned,Unassigned,NA,NA,NA,NA,NA,NA,NA,LCA,postONncbi_nt,95,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida
BBPS467-19,BBPS467-19 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Laonice; Laonice cirrata,Laonice cirrata,species,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Laonice cirrata,Laonice,Spionidae,Spionida,Polychaeta,Annelida
NBPOL185-08,NBPOL185-08 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Prionospio; Prionospio steenstrupi,Prionospio steenstrupi,species,Prionospio steenstrupi,Prionospio,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Prionospio steenstrupi,Prionospio,Spionidae,Spionida,Polychaeta,Annelida
BBPS274-19,BBPS274-19 Root; Animalia; Annelida; Polychaeta; Terebellida; Pectinariidae; Cistenides; Cistenides granulata,Pectinaria,genus,NA,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Cistenides granulata,Cistenides,Pectinariidae,Terebellida,Polychaeta,Annelida
ARCMI375-14,ARCMI375-14 Root; Animalia; Annelida; Polychaeta; Terebellida; Pectinariidae; Pectinaria; Pectinaria sp,Pectinaria,genus,NA,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Pectinaria sp,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida
ARCMI376-14,ARCMI376-14 Root; Animalia; Annelida; Polychaeta; Terebellida; Pectinariidae; Pectinaria; Pectinaria sp,Pectinaria,genus,NA,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Pectinaria sp,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida
LABBI002-09,LABBI002-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Pectinariidae; Pectinaria; Pectinaria hyperborea,Pectinaria hyperborea,species,Pectinaria hyperborea,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Pectinaria hyperborea,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida
SERCI309-14,SERCI309-14 Root; Animalia; Annelida; Polychaeta; Terebellida; Pectinariidae; Pectinaria; Pectinaria gouldii,Pectinaria gouldii,species,Pectinaria gouldii,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Pectinaria gouldii,Pectinaria,Pectinariidae,Terebellida,Polychaeta,Annelida
GBAN18779-19,GBAN18779-19 Root; Animalia; Annelida; Polychaeta; Terebellida; Trichobranchidae; Terebellides; Terebellides stroemii,Terebellides stroemii,species,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida
GBAN18789-19,GBAN18789-19 Root; Animalia; Annelida; Polychaeta; Terebellida; Trichobranchidae; Terebellides; Terebellides stroemii,Terebellides stroemii,species,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida
LABBI064-09,LABBI064-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Trichobranchidae; Terebellides; Terebellides sp,Terebellides stroemii,species,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Terebellides sp,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida
SDP834015-19,SDP834015-19 Root; Animalia; Annelida; Polychaeta; Terebellida; Trichobranchidae; Terebellides; Terebellides stroemii,Terebellides stroemii,species,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida
GBMNA12738-19,GBMNA12738-19 Root; Animalia; Annelida; Polychaeta; Terebellida; Trichobranchidae; Terebellides; Terebellides stroemii,Terebellides stroemii,species,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida
LABBI041-09,LABBI041-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Trichobranchidae; Terebellides; Terebellides sp,Terebellides stroemii,species,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Terebellides sp,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida
GBMNB34390-20,GBMNB34390-20 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Spiophanes; Spiophanes kroyeri,Spiophanes,genus,NA,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida
GBMNB34391-20,GBMNB34391-20 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Spiophanes; Spiophanes kroyeri,Spiophanes,genus,NA,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida
GBMNB34393-20,GBMNB34393-20 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Spiophanes; Spiophanes kroyeri,Spiophanes,genus,NA,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida
GBMNB34392-20,GBMNB34392-20 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Spiophanes; Spiophanes kroyeri,Spiophanes,genus,NA,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida
GBMNB34395-20,GBMNB34395-20 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Spiophanes; Spiophanes kroyeri,Spiophanes,genus,NA,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Spiophanes kroyeri,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida
GBMNB34384-20,GBMNB34384-20 Root; Animalia; Annelida; Polychaeta; Spionida; Spionidae; Spiophanes; Spiophanes bombyx,Spiophanes,genus,NA,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Spiophanes bombyx,Spiophanes,Spionidae,Spionida,Polychaeta,Annelida
BBPS293-19,BBPS293-19 Root; Animalia; Annelida; Polychaeta; Spionida; Trochochaetidae; Trochochaeta; Trochochaeta multisetosa,Unassigned,Unassigned,NA,NA,NA,NA,NA,NA,NA,LCA,postONncbi_nt,95,Trochochaeta multisetosa,Trochochaeta,Trochochaetidae,Spionida,Polychaeta,Annelida
BCPOL289-08,BCPOL289-08 Root; Animalia; Annelida; Polychaeta; Maldanidae_order_incertae_sedis; Maldanidae; Praxillella; Praxillella affinis,Praxillella,genus,NA,Praxillella,Maldanidae,Capitellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Praxillella affinis,Praxillella,Maldanidae,Maldanidae_order_incertae_sedis,Polychaeta,Annelida
BBPS279-19,BBPS279-19 Root; Animalia; Annelida; Polychaeta; Maldanidae_order_incertae_sedis; Maldanidae; Praxillella; Praxillella gracilis,Maldanidae,genus,NA,Maldanidae,Maldanidae,Capitellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Praxillella gracilis,Praxillella,Maldanidae,Maldanidae_order_incertae_sedis,Polychaeta,Annelida
BBPS283-19,BBPS283-19 Root; Animalia; Annelida; Polychaeta; Maldanidae_order_incertae_sedis; Maldanidae; Praxillella; Praxillella gracilis,Maldanidae,genus,NA,Maldanidae,Maldanidae,Capitellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Praxillella gracilis,Praxillella,Maldanidae,Maldanidae_order_incertae_sedis,Polychaeta,Annelida
BBPS280-19,BBPS280-19 Root; Animalia; Annelida; Polychaeta; Maldanidae_order_incertae_sedis; Maldanidae; Praxillella; Praxillella gracilis,Maldanidae,genus,NA,Maldanidae,Maldanidae,Capitellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Praxillella gracilis,Praxillella,Maldanidae,Maldanidae_order_incertae_sedis,Polychaeta,Annelida
BBPS281-19,BBPS281-19 Root; Animalia; Annelida; Polychaeta; Maldanidae_order_incertae_sedis; Maldanidae; Praxillella; Praxillella gracilis,Maldanidae,genus,NA,Maldanidae,Maldanidae,Capitellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Praxillella gracilis,Praxillella,Maldanidae,Maldanidae_order_incertae_sedis,Polychaeta,Annelida
BBPS899-19,BBPS899-19 Root; Animalia; Annelida; Polychaeta; Maldanidae_order_incertae_sedis; Maldanidae; Praxillella; Praxillella gracilis,Maldanidae,genus,NA,Maldanidae,Maldanidae,Capitellida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Praxillella gracilis,Praxillella,Maldanidae,Maldanidae_order_incertae_sedis,Polychaeta,Annelida
NBPOL282-08,NBPOL282-08 Root; Animalia; Annelida; Polychaeta; Orbiniidae_order_incertae_sedis; Orbiniidae; Leitoscoloplos; Leitoscoloplos acutus,Lepidoptera,order,NA,NA,NA,Lepidoptera,Insecta,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Leitoscoloplos acutus,Leitoscoloplos,Orbiniidae,Orbiniidae_order_incertae_sedis,Polychaeta,Annelida
NBPOL330-08,NBPOL330-08 Root; Animalia; Annelida; Polychaeta; Orbiniidae_order_incertae_sedis; Orbiniidae; Leitoscoloplos; Leitoscoloplos acutus,Lepidoptera,order,NA,NA,NA,Lepidoptera,Insecta,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Leitoscoloplos acutus,Leitoscoloplos,Orbiniidae,Orbiniidae_order_incertae_sedis,Polychaeta,Annelida
NBPOL279-08,NBPOL279-08 Root; Animalia; Annelida; Polychaeta; Orbiniidae_order_incertae_sedis; Orbiniidae; Leitoscoloplos; Leitoscoloplos acutus,Lepidoptera,order,NA,NA,NA,Lepidoptera,Insecta,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Leitoscoloplos acutus,Leitoscoloplos,Orbiniidae,Orbiniidae_order_incertae_sedis,Polychaeta,Annelida
NBPOL281-08,NBPOL281-08 Root; Animalia; Annelida; Polychaeta; Orbiniidae_order_incertae_sedis; Orbiniidae; Scoloplos; Scoloplos armiger,Scoloplos armiger,species,Scoloplos armiger,Scoloplos,Orbiniidae,NA,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Scoloplos armiger,Scoloplos,Orbiniidae,Orbiniidae_order_incertae_sedis,Polychaeta,Annelida
ARCMI377-14,ARCMI377-14 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Flabelligera; Flabelligera affinis,Flabelligera,genus,NA,Flabelligera,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Flabelligera affinis,Flabelligera,Flabelligeridae,Terebellida,Polychaeta,Annelida
HZPLY576-13,HZPLY576-13 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Bradabyssa; Bradabyssa villosa,Unassigned,Unassigned,NA,NA,NA,NA,NA,NA,NA,LCA,postONncbi_nt,95,Bradabyssa villosa,Bradabyssa,Flabelligeridae,Terebellida,Polychaeta,Annelida
WSPO101-09,WSPO101-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Saphobranchia; Saphobranchia longisetosa,Diplocirrus longisetosus,species,Diplocirrus longisetosus,Diplocirrus,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Saphobranchia longisetosa,Saphobranchia,Flabelligeridae,Terebellida,Polychaeta,Annelida
WSPO273-09,WSPO273-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Saphobranchia; Saphobranchia longisetosa,Diplocirrus longisetosus,species,Diplocirrus longisetosus,Diplocirrus,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Saphobranchia longisetosa,Saphobranchia,Flabelligeridae,Terebellida,Polychaeta,Annelida
CCPOL325-08,CCPOL325-08 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Saphobranchia; Saphobranchia longisetosa,Diplocirrus longisetosus,species,Diplocirrus longisetosus,Diplocirrus,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Saphobranchia longisetosa,Saphobranchia,Flabelligeridae,Terebellida,Polychaeta,Annelida
LABBI008-09,LABBI008-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Pherusa; Pherusa plumosa,Pherusa plumosa,species,Pherusa plumosa,Pherusa,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Pherusa plumosa,Pherusa,Flabelligeridae,Terebellida,Polychaeta,Annelida
NBPOL269-08,NBPOL269-08 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Pherusa; Pherusa affinis,Pherusa,genus,NA,Pherusa,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Pherusa affinis,Pherusa,Flabelligeridae,Terebellida,Polychaeta,Annelida
KBPOL684-11,KBPOL684-11 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Bradabyssa; Bradabyssa villosa,Brada villosa,species,Brada villosa,Brada,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Bradabyssa villosa,Bradabyssa,Flabelligeridae,Terebellida,Polychaeta,Annelida
KBPOL685-11,KBPOL685-11 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Bradabyssa; Bradabyssa villosa,Brada villosa,species,Brada villosa,Brada,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Bradabyssa villosa,Bradabyssa,Flabelligeridae,Terebellida,Polychaeta,Annelida
LABBI040-09,LABBI040-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Bradabyssa; Bradabyssa sp,Brada,genus,NA,Brada,Flabelligeridae,Flabelligerida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Bradabyssa sp,Bradabyssa,Flabelligeridae,Terebellida,Polychaeta,Annelida
ASGRD161-18,ASGRD161-18 Root; Animalia; Annelida; Polychaeta; Terebellida; Flabelligeridae; Bradabyssa; Bradabyssa villosa,Unassigned,Unassigned,NA,NA,NA,NA,NA,NA,NA,LCA,postONncbi_nt,95,Bradabyssa villosa,Bradabyssa,Flabelligeridae,Terebellida,Polychaeta,Annelida
WSPO224-09,WSPO224-09 Root; Animalia; Annelida; Polychaeta; Terebellida; Cirratulidae; Cirratulus; Cirratulus cirratus,Cirratulus cirratus,species,Cirratulus cirratus,Cirratulus,Cirratulidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Cirratulus cirratus,Cirratulus,Cirratulidae,Terebellida,Polychaeta,Annelida
GBAN0672-06,GBAN0672-06 Root; Animalia; Annelida; Polychaeta; Terebellida; Cirratulidae; Dodecaceria; Dodecaceria concharum,Dodecaceria concharum,species,Dodecaceria concharum,Dodecaceria,Cirratulidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Dodecaceria concharum,Dodecaceria,Cirratulidae,Terebellida,Polychaeta,Annelida
CCPOL241-07,CCPOL241-07 Root; Animalia; Annelida; Polychaeta; Terebellida; Cirratulidae; Chaetozone; Chaetozone setosa,Chaetozone setosa,species,Chaetozone setosa,Chaetozone,Cirratulidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Chaetozone setosa,Chaetozone,Cirratulidae,Terebellida,Polychaeta,Annelida
CCPOL242-07,CCPOL242-07 Root; Animalia; Annelida; Polychaeta; Terebellida; Cirratulidae; Chaetozone; Chaetozone setosa,Chaetozone setosa,species,Chaetozone setosa,Chaetozone,Cirratulidae,Spionida,Polychaeta,Annelida,Metazoa,LCA,postONncbi_nt,95,Chaetozone setosa,Chaetozone,Cirratulidae,Terebellida,Polychaeta,Annelida
HZPLY459-13,HZPLY459-13 Root; Animalia; Annelida; Polychaeta; Terebellida; Cirratulidae; Aphelochaeta; Aphelochaeta filiformis,Unassigned,Unassigned,NA,NA,NA,NA,NA,NA,NA,LCA,postONncbi_nt,95,Aphelochaeta filiformis,Aphelochaeta,Cirratulidae,Terebellida,Polychaeta,Annelida
HZPLY461-13,HZPLY461-13 Root; Animalia; Annelida; Polychaeta; Terebellida; Cirratulidae; Aphelochaeta; Aphelochaeta filiformis,Unassigned,Unassigned,NA,NA,NA,NA,NA,NA,NA,LCA,postONncbi_nt,95,Aphelochaeta filiformis,Aphelochaeta,Cirratulidae,Terebellida,Polychaeta,Annelida
GBMIN41509-14,GBMIN41509-14 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia bifilosa,Acartia bifilosa,species,Acartia bifilosa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia bifilosa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBMIN41510-14,GBMIN41510-14 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia bifilosa,Acartia bifilosa,species,Acartia bifilosa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia bifilosa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBMIN41513-14,GBMIN41513-14 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia bifilosa,Acartia bifilosa,species,Acartia bifilosa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia bifilosa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
COAPP154-12,COAPP154-12 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia hudsonica,Acartia,genus,NA,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia hudsonica,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
COAPP187-12,COAPP187-12 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia hudsonica,Acartia,genus,NA,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia hudsonica,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
CAISN865-13,CAISN865-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia hudsonica,Unassigned,Unassigned,NA,NA,NA,NA,NA,NA,NA,LCA,postONncbi_nt,95,Acartia hudsonica,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBA11820-13,GBA11820-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia clausi,Acartia clausii,species,Acartia clausii,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia clausi,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBA11824-13,GBA11824-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia clausi,Acartia clausii,species,Acartia clausii,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia clausi,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBA11823-13,GBA11823-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia clausi,Acartia clausii,species,Acartia clausii,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia clausi,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBMIN41504-14,GBMIN41504-14 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia clausi,Acartia clausii,species,Acartia clausii,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia clausi,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBCM21424-19,GBCM21424-19 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia tonsa,Acartia tonsa,species,Acartia tonsa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia tonsa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
ECCRU052-10,ECCRU052-10 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia tonsa,Arthropoda,phylum,NA,NA,NA,NA,NA,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia tonsa,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
CAISN1056-13,CAISN1056-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia longiremis,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
CAISN1085-13,CAISN1085-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia longiremis,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
CAISN1057-13,CAISN1057-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Acartiidae; Acartia; Acartia longiremis,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda
GBCRO5968-19,GBCRO5968-19 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Calanidae; Calanus; Calanus glacialis,Calanus,genus,NA,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Calanus glacialis,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda
CAISN1215-13,CAISN1215-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Calanidae; Calanus; Calanus finmarchicus,Calanus,genus,NA,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda
GBCRO5967-19,GBCRO5967-19 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Calanidae; Calanus; Calanus finmarchicus,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda
CAISN1094-13,CAISN1094-13 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Calanidae; Calanus; Calanus hyperboreus,Calanus,genus,NA,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Calanus hyperboreus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda
WW824-08,WW824-08 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Calanidae; Calanus; Calanus hyperboreus,Calanus,genus,NA,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Calanus hyperboreus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda
CAISN1472-14,CAISN1472-14 Root; Animalia; Arthropoda; Hexanauplia; Calanoida; Temoridae; Temora; Temora longicornis,Temora longicornis,species,Temora longicornis,Temora,Temoridae,Calanoida,Hexanauplia,Arthropoda,Metazoa,LCA,postONncbi_nt,95,Temora longicornis,Temora,Temoridae,Calanoida,Hexanauplia,Arthropoda
